# schema=range-replay-measurement/v1
# complete=true
# cache_condition=warm_after_one_warmup_per_row
# data_file=/tmp/range-replay-vps.1fRZZs/data-2g.bin
# data_file_bytes=2147483648
# required_data_bytes=805502975
# logical_bytes_per_workload=268435456
# warmups_per_row=1
# measured_repetitions=8
# max_byte_budget_depth=16
# clock_ticks_per_second=100
workload	pattern	backend	submitted_depth	phase	repetition	logical_range_bytes	read_size_bytes	byte_budget_bytes	logical_bytes	physical_bytes	physical_operations	elapsed_ns	user_cpu_ticks	system_cpu_ticks	cpu_ns	throughput_bytes_per_second	output_sha256	bytes_equal_to_pread
sequential_64k	mostly_sequential	pread	1	measured	1	65536	65536	1048576	268435456	268435456	4096	140570412	10	4	140000000	1909615630	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	1	65536	65536	1048576	268435456	268435456	4096	120210403	8	4	120000000	2233046802	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	measured	1	65536	65536	1048576	268435456	268435456	4096	117451518	7	5	120000000	2285500098	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	1	65536	65536	1048576	268435456	268435456	4096	120289659	8	5	130000000	2231575500	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	2	65536	65536	1048576	268435456	268435456	4096	118729862	7	4	110000000	2260892512	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	measured	2	65536	65536	1048576	268435456	268435456	4096	117465293	7	5	120000000	2285232081	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	2	65536	65536	1048576	268435456	268435456	4096	120452171	8	4	120000000	2228564697	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	pread	1	measured	2	65536	65536	1048576	268435456	268435456	4096	130212842	8	4	120000000	2061512918	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	measured	3	65536	65536	1048576	268435456	268435456	4096	111776616	6	5	110000000	2401535004	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	3	65536	65536	1048576	268435456	268435456	4096	116011451	7	5	120000000	2313870343	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	pread	1	measured	3	65536	65536	1048576	268435456	268435456	4096	142753598	11	3	140000000	1880411140	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	3	65536	65536	1048576	268435456	268435456	4096	119464677	8	4	120000000	2246985994	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	4	65536	65536	1048576	268435456	268435456	4096	113995367	6	5	110000000	2354792682	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	pread	1	measured	4	65536	65536	1048576	268435456	268435456	4096	127256691	9	4	130000000	2109401508	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	4	65536	65536	1048576	268435456	268435456	4096	115622840	9	3	120000000	2321647314	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	measured	4	65536	65536	1048576	268435456	268435456	4096	118786226	7	5	120000000	2259819720	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	pread	1	measured	5	65536	65536	1048576	268435456	268435456	4096	139134376	9	4	130000000	1929325187	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	5	65536	65536	1048576	268435456	268435456	4096	133935848	8	5	130000000	2004209179	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	measured	5	65536	65536	1048576	268435456	268435456	4096	118505445	7	5	120000000	2265174026	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	5	65536	65536	1048576	268435456	268435456	4096	130462937	8	5	130000000	2057561037	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	6	65536	65536	1048576	268435456	268435456	4096	125842894	8	4	120000000	2133099831	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	measured	6	65536	65536	1048576	268435456	268435456	4096	126694536	9	4	130000000	2118761112	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	6	65536	65536	1048576	268435456	268435456	4096	127046631	8	5	130000000	2112889211	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	pread	1	measured	6	65536	65536	1048576	268435456	268435456	4096	145115024	9	5	140000000	1849811608	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	4	measured	7	65536	65536	1048576	268435456	268435456	4096	125678880	7	5	120000000	2135883578	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	7	65536	65536	1048576	268435456	268435456	4096	127382745	8	6	140000000	2107314110	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	pread	1	measured	7	65536	65536	1048576	268435456	268435456	4096	145722223	11	4	150000000	1842103767	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	7	65536	65536	1048576	268435456	268435456	4096	117705629	8	4	120000000	2280566004	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	16	measured	8	65536	65536	1048576	268435456	268435456	4096	118715345	7	5	120000000	2261168983	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	pread	1	measured	8	65536	65536	1048576	268435456	268435456	4096	140280404	10	4	140000000	1913563465	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
sequential_64k	mostly_sequential	io_uring	1	measured	8	65536	65536	1048576	268435456	268435456	4096	116384605	9	4	130000000	2306451579	1227dbe3e71ed7fab25e8d7ab81ad761ca7d1dd6e176ab1e212a72f6bf41e978	true
